age,income,loan_amount,credit_score,dpd,missed_payment_count,previous_ptp_count,collection_attempts,recent_payment_amount,days_since_last_payment,outstanding_amount,emi_amount,previous_ptp_kept_count,successful_contacts,ptp_kept_rate,contact_success_rate,outstanding_to_income,emi_to_income,payment_to_outstanding,dpd_bucket,behavior_stress_score,will_pay,ptp_kept,recovery_success
25,50054.0,541113.0,678.8954755738928,180,0,3,0,28735.0,85,90992.41607722058,9733.769790078743,2,0,0.6666666666666666,0.0,0.1514904171448512,0.19446537319852045,0.31579554911053337,6,0.6888888888888889,1,0,0
58,23488.0,366316.0,594.9322574988087,90,4,3,6,16840.0,125,118375.88980054045,10410.29301531741,0,2,0.0,0.3333333333333333,0.41998712037544156,0.44321751597911313,0.1422586983580428,3,0.725,1,0,0
53,119624.0,804490.0,668.1128074733449,60,1,0,11,16933.0,80,278330.7298261348,42375.76722500041,0,3,0.0,0.2727272727272727,0.1938927596929649,0.3542413497709524,0.060837694819316425,2,0.5505050505050505,1,0,1
42,128648.0,1011245.0,614.4094099982971,60,3,5,5,6167.0,152,240780.27105935852,33824.12008065207,4,3,0.8,0.6,0.15596839895124587,0.26291990610543553,0.0256125635745284,2,0.4866666666666667,1,1,0
42,143163.0,429063.0,660.5817490670686,30,6,3,7,20260.0,86,75288.04001461354,11787.12469000238,1,2,0.3333333333333333,0.2857142857142857,0.043824195738781165,0.0823335965996967,0.2690998463509941,1,0.6208730158730159,1,0,1
63,171980.0,1161949.0,500.8058403588252,180,1,0,8,27522.0,178,481872.60209075245,45542.461447009475,0,6,0.0,0.75,0.2334925582871809,0.26481254475525917,0.0571146811015761,6,0.7583333333333333,1,1,1
25,98572.0,976370.0,601.0397754089532,5,6,0,7,21783.0,179,306293.1223295997,40597.21269249116,0,1,0.0,0.14285714285714285,0.258941959793856,0.41185339338241245,0.07111814928890071,0,0.645436507936508,1,0,0
55,152322.0,291622.0,782.4748483160033,15,3,4,8,15287.0,76,72803.49417135361,5456.918198306367,2,7,0.5,0.875,0.03982982003658566,0.03582488542893585,0.20997618553883998,0,0.3855555555555556,1,0,0
30,134039.0,1411040.0,738.127842437528,5,6,4,10,19097.0,137,378134.8145552115,35805.83748551859,3,2,0.75,0.2,0.2350900450336665,0.26712999563946754,0.05050315195775671,0,0.5272222222222223,0,0,0
25,62906.0,113594.0,772.3327535140662,120,5,2,0,7015.0,81,87433.28495635223,3107.819647562859,0,0,0.0,0.0,0.11582531204807203,0.04940418477669632,0.08023260253234193,4,0.8300000000000001,0,0,1
46,154909.0,997905.0,777.1404888769647,45,5,2,10,1816.0,157,220713.78750267558,24780.39737103944,0,2,0.0,0.2,0.1187330343958257,0.15996744779863944,0.008227850287685294,1,0.6841666666666666,0,0,0
68,26638.0,687401.0,727.1091196915135,90,1,0,10,19188.0,137,476809.80552353547,20838.633234677578,0,10,0.0,1.0,1.4916341489711924,0.7822897077362256,0.040242460993291956,3,0.5583333333333333,1,0,1
57,115020.0,998023.0,648.2991920234606,180,5,0,10,5453.0,60,190089.26422465921,28332.216241473237,0,4,0.0,0.4,0.13772189200766477,0.24632425875041938,0.028686522735735923,6,0.8599999999999999,1,0,0
58,170336.0,1172334.0,607.3924337614064,5,2,3,4,2709.0,57,211575.8164389501,51883.82864343954,0,3,0.0,0.75,0.10350905291059538,0.3045969650774912,0.012803920814748116,0,0.3780555555555556,0,1,0
56,124752.0,1046440.0,760.2721223814788,180,6,2,6,23245.0,158,504051.6001367584,40766.56092695612,0,2,0.0,0.3333333333333333,0.336702417687865,0.3267808205636472,0.04611631030174928,6,0.9666666666666667,0,0,0
